question,algorithm,feature_set,train_set_size,test_set_size,test_set_ratio,perf_measure,performance,other_info,seed
1,DT,format_agnostic,102400,102400,1:1,accuracy,0.799482421875,,1338
1,DT,format_agnostic,102400,102400,1:1,accuracy,0.809951171875,,1339
1,DT,combined,102400,102400,1:1,accuracy,0.849951171875,,1337
1,DT,combined,102400,102400,1:1,accuracy,0.84404296875,,1338
1,DT,combined,102400,102400,1:1,accuracy,0.858232421875,,1339
1,RF,parsed,102400,102400,1:1,accuracy,0.8125,,1337
1,RF,parsed,102400,102400,1:1,accuracy,0.819287109375,,1338
1,RF,parsed,102400,102400,1:1,accuracy,0.81603515625,,1339
1,RF,format_agnostic,102400,102400,1:1,accuracy,0.85537109375,,1337
1,RF,format_agnostic,102400,102400,1:1,accuracy,0.862548828125,,1338
1,RF,format_agnostic,102400,102400,1:1,accuracy,0.861533203125,,1339
1,RF,combined,102400,102400,1:1,accuracy,0.8803125,,1337
1,RF,combined,102400,102400,1:1,accuracy,0.8946484375,,1338
1,RF,combined,102400,102400,1:1,accuracy,0.891376953125,,1339
1,LGBM,parsed,102400,102400,1:1,accuracy,0.860234375,,1337
1,LGBM,parsed,102400,102400,1:1,accuracy,0.883203125,,1338
1,LGBM,parsed,102400,102400,1:1,accuracy,0.8781640625,,1339
1,LGBM,format_agnostic,102400,102400,1:1,accuracy,0.861630859375,,1337
1,LGBM,format_agnostic,102400,102400,1:1,accuracy,0.858759765625,,1338
1,LGBM,format_agnostic,102400,102400,1:1,accuracy,0.868603515625,,1339
1,LGBM,combined,102400,102400,1:1,accuracy,0.927734375,,1337
1,LGBM,combined,102400,102400,1:1,accuracy,0.922646484375,,1338
1,LGBM,combined,102400,102400,1:1,accuracy,0.92953125,,1339
1,SVM,parsed,102400,102400,1:1,accuracy,0.76640625,,1337
1,SVM,parsed,102400,102400,1:1,accuracy,0.789775390625,,1338
1,SVM,parsed,102400,102400,1:1,accuracy,0.802734375,,1339
1,SVM,format_agnostic,102400,102400,1:1,accuracy,0.71484375,,1337
1,SVM,format_agnostic,102400,102400,1:1,accuracy,0.71224609375,,1338
1,SVM,format_agnostic,102400,102400,1:1,accuracy,0.71083984375,,1339
1,SVM,combined,102400,102400,1:1,accuracy,0.800576171875,,1337
1,SVM,combined,102400,102400,1:1,accuracy,0.80404296875,,1338
